"sppid";"Name";"Family";"CommonName";"Name";"Native/Invasive";"nemba";"EDRR target species (www.CTinvasives.co.za)";"Diagnostics";"Peninsula Notes"
362;"Ficus  carica ";"MORA";"Edible Fig";"Ficus  carica ";"Invasive";;"not listed";"Edible fig, stipule deciduous leaving scar";"Very occasional everywhere, especially in forests and fire-protected areas; not recorded in 1950"
363;"Foeniculum vulgare ";"APIA";"Wild Fennel";"Foeniculum vulgare ";"Invasive";;"not listed";"Perennial; leaf feathery, strongly aniseed scent; flowers in umbels, yellow, no  bracts";"Roadsides and waste areas; common"
364;"Fraxinus americana ";"OLEA";"White Ash";"Fraxinus americana ";"Invasive";;"not listed";"Leaf heavy, 7 leaflets on stalks; fruit with single, helicopter wing";"Not recorded in 1950"
365;"Fumaria muralis subsp. muralis";"FUMA";"Fumitory";"Fumaria muralis subsp. muralis";"Invasive";;"not listed";"Annual, sprawling, much branched from base, soft; leaf glaucous; flowers tubular, 2-lipped, spurred, 12 in spike, pink, stalk longer than spike";"Roadsides, open areas and cultivation, common; veld in damp areas, occasional; Two forms occur: sprawling, pale flowers late in season;  more creeping, pinker early in season; was F. officinalis var. grandiflora"
366;"Galinsoga parviflora ";"ASTE";"Gallant Soldier";"Galinsoga parviflora ";"Invasive";;"not listed";"Annual, slender; leaves narrowing up stem, stipule pointed; flowerheads with 2-4 brown-edged bracts, disc yellow, rays white, trifid, narrow";"Roadsides, spreading; occasional; Rondebosch to Claremont"
368;"Gastridium phleoides ";"POAC";"Nit Grass";"Gastridium phleoides ";"Invasive";;"not listed";"Glumes swollen at base around floret; panicle narrow";"Open veld, esp. gravels; occasional; Rondebosch, Kirstenbosch, Wynberg Hill"
369;"Gastrodia sesamoides ";"ORCH";"Potato Orchid";"Gastrodia sesamoides ";"Invasive";;"not listed";"Brown, stiff stems, with a few scales; fleshy rhizomes; orchid flowers bell-shaped, drooping, brownish tipped white";"Under gums; rare at Kirstenbosch"
370;"Geranium dissectum ";"GERA";"Cutleaf Cranesbill";"Geranium dissectum ";"Invasive";;"not listed";"Annual, straggling-erect, hairy, often glandular above; leaf deeply divided into 5-9 narrow lobes; stipule small; flowers purple-pink, in 2s on a short stalk, petals notched; fruit downy";"Roadsides and waste areas in the north; occasional"
371;"Geranium molle ";"GERA";"Cranesbill";"Geranium molle ";"Invasive";;"not listed";"Annual, prostrate; stems with long hairs; leaves rounded, more dissected higher, deeply dissected in 7-11 lobes, stipule small; flowers in 2s, pink-purple, petals well notched, sepals with black tip; fruit hairless, wrinkled";"Roadside and waste areas; frequent"
372;"Geranium purpureum ";"GERA";"Little Robin";"Geranium purpureum ";"Invasive";;"not listed";"Annual, sprawling-erect, strong smelling, reddening, hairy; leaves triangular, divided almost to base into 3-5 lobes, stipule small; flowers in 2s, pink, petals just notched, sepals with soft tip; fruit strongly wrinkled";"Local; Sandvlei"
373;"Geranium rotundifolium ";"GERA";"Roundleaf Geranium";"Geranium rotundifolium ";"Invasive";;"not listed";"Annual, sprawling-erect, stems with dense, long hairs; leaf in whorls of 3-4, rounded, wavy edged, soft hairy, stipule fine; flowers in 2s, pink, petals unnotched; fruit downy, unwrinkled";"Waste areas; local; Newlands"
375;"Gomphrena celosioides ";"AMAA";"Bachelors Buttons";"Gomphrena celosioides ";"Invasive";;"not listed";"Prostrate; covered with white hairs; flowerheads terminal, ovoid; bracts papery, white, longer than flowers; petals woolly, 2 keeled, 2 flat.";"Roadsides and disturbed areas; occasional"
376;"Grevillea banksii";"PROT";"Scarlet Silky Oak";"Grevillea banksii";"Invasive";;"not listed";"Multistemmed shrub; leaves silky-haired below, deeply incised to 5-11 lobes; flowers pink-red, hairy on outside";"Not recorded in 1950; disturbed areas at Tokai"
377;"Grevillea robusta";"PROT";"Silky Oak";"Grevillea robusta";"Invasive";;"not listed";"Large tree; leaves silky haired below; flowerheads  in comb-like sprays; flowers golden orange, nectariferrous; fruit a leathery capsule";"Not recorded in 1950; planted widely, not known to be invasive"
31;"Guilleminea densa";"AMAA";"Small Matweed";"Guilleminea densa";"Invasive";;"not listed";"Annual with perennial rootstock, prostrate, woolly; leaf basal rosette, woolly, white below; flowerheads white, dense, 5mm across ; flower stalkless; utricles within petals";"Dry waste and disturbed places; was Brayulinea densa"
378;"Hainardia cylindrica ";"POAC";"Barbgrass";"Hainardia cylindrica ";"Invasive";;"not listed";"Spikelets embedded in alternate notches on stalk";"Moist places; rare"
379;"Hakea drupacea ";"PROT";"Sweet Needlebush";"Hakea drupacea ";"Invasive";"1a";"listed";"Leaf divided; cone smooth, shiny yellow-brown; older plants resembling stone pine ";"Granites at Llandudno and Simonstown to Smitswinkel Bay, abundant; sandstones from Hout Bay to Simonstown, occasional (1950: Camps Bay, locally abundant)"
380;"Hakea gibbosa ";"PROT";"Rock Needlebush";"Hakea gibbosa ";"Invasive";;"not listed";"Leaf needlelike, to 80mm long, densely hairy when young; cones with 2 sharp apical horns ";"Orangekloof to Red Hill, occasional; Constantia Neck, abundant; (1950: hill slopes, common; Constantia Nek, abundant)"
381;"Hakea salicifolia ";"PROT";"Willow Hakea";"Hakea salicifolia ";"Invasive";;"not listed";"Leaf flat, lanceolate; cone grey with dark warts";"Extensively planted as hedge; naturalized at Tokai; rare; not recorded in 1950"
382;"Hakea sericea ";"PROT";"Silky Needlebush";"Hakea sericea ";"Invasive";;"not listed";"Leaf needlelike, to 40mm long, hairless; cones with 2 small apical horns";"Lions Head to Swarkopberg, occasional; (in 1950: west slopes Table Mountain, abundant)"
384;"Hedera helix ";"ARAL";"Common Ivy";"Hedera helix ";"Invasive";;"not listed";"Woody climber, evergreen, creeping, climbing or tree-like; leaf glossy, ivy-shaped; flowers in umbel, green; berry black";"Disturbed and shady areas, especially on granites; locally abundant; Newlands to Constantia; not recorded in 1950"
385;"Hedychium coccineum ";"ZING";"Red Ginger Lily";"Hedychium coccineum ";"Invasive";;"not listed";"Rhizomatous, bamboo-like; flowers in long spikes, red with long-exerted, pink stamens; floral bracts cylindrical";"Wet areas; Constantia; not recorded in 1950"
386;"Hedychium coronarium ";"ZING";"White Ginger Lily";"Hedychium coronarium ";"Invasive";;"not listed";"Rhizomatous, bamboo-like; flowers in long spikes, white, stamens at petals; floral bracts large, broad, overlapping, sepals longer than petal tube";"Wet areas; Constantia; not recorded in 1950"
80;"Hedychium flavescens";"ZING";"Yellow Ginger Lily";"Hedychium flavescens";"Invasive";;"not listed";"Rhizomatous, bamboo-like; flowers in long spikes, yellow, stamens at petals; floral bracts large, broad, overlapping, sepals as long as petal tube";"From SAPIA 2010; wet areas"
387;"Hedypnois cretica ";"ASTE";"Crete Weed";"Hedypnois cretica ";"Invasive";;"not listed";"Annual; scantily leafy, leaves entire or toothed, narrowed at base; flowerhead on a solitary, widened and hollow stalk; involucral bracts hispid";"Waste areas; occasional; Mowbray to Maitland"
40;"Helichrysum luteoalbum";"ASTE";"Weedy Cudweed";"Helichrysum luteoalbum";"Invasive";;"not listed";"Erect herb to 700m, white/silver woolly, branching from basal rosette; leaf oblanceolate to linear, smaller up stem; daisy flowers in tight heads (4mm long), surrounded by shiny yellow bracts; pappus 8-12 bristles";"Waste places; Bergvliet; might be indigenous - almost cosmipolitan; was Gnaphalium, Pseudognaphalium,  luteo-album"
34;"Heliotropium europaeum";"BORA";"European Heliotrope";"Heliotropium europaeum";"Invasive";;"not listed";"Annual; well rooted; ill-smelling odour; leaf grey-green, hairy, base tapering; flowerhead cyme without bracts, caterpillar-like; flowers in two rows, white with a yellow throat";"Mainly wheatfields, fallow and overgrazed areas; recent invader 1990s"
389;"Holcus lanatus ";"POAC";"Common Velvet Grass";"Holcus lanatus ";"Invasive";;"not listed";"Spikelets sandpapery, awn short, hooked";"Vleis and damp places; common; Rondebosch to Muizenberg; reservoirs on summits"
390;"Homalanthus populifolius ";"EUPH";"Queensland Poplar";"Homalanthus populifolius ";"Invasive";;"not listed";"Tree; leaf with long stalk, aging to orange red";"Forests and plantations where moist; frequent"
183;"Homalocladium platycladum";"POLY";"Ribbon Plant";"Homalocladium platycladum";"Invasive";;"not listed";"Shrub, erect; leaf absent - apparent leaf is flattened green stem, in square segments, true leaf membranous, long, often lobed at base; flowers borne alternately on stem, in stalkless clusters, white aging pink; nuts covered by fleshy red or purple petals";"Not recorded in 1950"
391;"Hordeum murinum subsp. murinum";"POAC";"Wild Barley";"Hordeum murinum subsp. murinum";"Invasive";;"not listed";"Culms slanted; leaf sheaths with conspicuous auricles; spikelets in 3s with rough, long awns";"Disturbed areas esp. roadsides, sands, esp. under wattles; locally common; Cape Flats"
58;"Hordeum vulgare";"POAC";"Barley";"Hordeum vulgare";"Invasive";;"not listed";"Annual, stem erect to 1.2m; leaf few; spikes compressed, dense, in 2 or 6 rows; glumes narrow, 2, short awned; lemma awn long straight or curved";"Introduced from Europe; occ. Stray"
392;"Hypericum canariense ";"CLUS";"Canary Islands St Johns Wort";"Hypericum canariense ";"Invasive";;"not listed";"Perennial, multistemmed; leaf waxy, lanceolate; flowers yellow, many anthers, in branched, leafy heads, capsule dry";"Not recorded in 1950"
394;"Hypericum perforatum ";"CLUS";"St Johns Wort";"Hypericum perforatum ";"Invasive";;"not listed";"Perennial, erect, robust, with creeping rhizomes; stems with 2 raised lines; leaves with translucent dots, spreading; flowers with petals and sepals with black dots, yellow, many anthers, in branched, leafy heads, capsule dry";"Near river; frequent; Fernwood to Kirstenbosch"
395;"Hypochaeris glabra ";"ASTE";"Smooth Cats Ear";"Hypochaeris glabra ";"Invasive";;"not listed";"Annual; hairless; flowerheads solitary on leafless stems with a few scale bracts, flowers slightly longer than involucral bracts";"Waste areas; occasional"
396;"Hypochaeris radicata ";"ASTE";"Hairy Wild Lettuce";"Hypochaeris radicata ";"Invasive";;"not listed";"Perennial, stemless, rhizome fleshy with numerous fibrous roots; leaves roughly hairy; flowerheads solitary on leafless stems with a few scale bracts; flowers much longer than involucral bracts";"Waste areas, paths and disturbed areas; common"
30;"Hypoestes phyllostachya";"ACAN";"Polkadot Plant";"Hypoestes phyllostachya";"Invasive";;"not listed";"Annual, leaves green with pink spots; flowersheads terminal, spike-like racemes; flowers small, tubular, pink-blue";"Moist and shady areas in ditches, road verges and waste areas"
397;"Impatiens sodenii ";"BALS";"Poor-mans Touch Me Not";"Impatiens sodenii ";"Invasive";;"not listed";"Stems thick and succulent; sparsely branched; leaf bright green, whorled at stem tips, hairless; flowers pale pink, single, among leaves, lower petal with a long narrow spur; fruit explode readily when ripe";"Not recorded in 1950"
400;"Ipomoea indica ";"CONV";"Morning Glory";"Ipomoea indica ";"Invasive";;"not listed";"Perennial, purple flowers, sepals long tapering";"Not recorded in 1950"
611;"Ipomoea lacunosa";"CONV";"Small White Morning Glory";"Ipomoea lacunosa";"Invasive";;"not listed";"Annual, twining vine; stems with sparse white hairs; leaves alternate, 3 lobes, occ. also smaller ovate; margins smooth; floweres white, funnel-shaped; seed capsules round, surrounded by bracts.";"Constantia  - Alphen trail;"
401;"Ipomoea purpurea";"CONV";"Purple Morning Glory";"Ipomoea purpurea";"Invasive";;"not listed";"Annual; leaf heart-shaped, stalk long; purple flowers with 5 pleats, sepals short pointed";"Not recorded in 1950"
402;"Jacaranda mimosifolia ";"BIGN";"Jacaranda";"Jacaranda mimosifolia ";"Invasive";;"not listed";"Leaf finely divided; flowers mauvish blue, tubular; capsules woody, oval, flat";"Not recorded in 1950"
613;"Jasminum polyanthum";"OLEA";"Climbing Jasmine";"Jasminum polyanthum";"Invasive";;"not listed";"Vigorous climber; leaves compound-pinnate; flowers star-like, white, fragrant, 5-7 ovate.";"Constantia  - Alphen trail"
403;"Juncus capitatus ";"JUNC";"Leafybract Dwarfrush";"Juncus capitatus ";"Invasive";;"not listed";"Annual herb; tufted, erect; stems flat or corrugated; each stems bears up to 6 clustered flowers, with leafy pointed bracts";"Not recorded in 1950; moist areas, wet sands, vernal pools and ditches"
404;"Juncus imbricatus ";"JUNC";"Tlled Dwarfrush";"Juncus imbricatus ";"Invasive";;"not listed";"Leaves slender, ribbed; flowers in pseudolateral spikes, green";"Seasonally damp areas; occasional from Rosebank to Wynberg"
406;"Kickxia spuria ";"SCRO";"Roundleaf Fluellen";"Kickxia spuria ";"Invasive";;"not listed";"Annual, prostrate; sticky haired; leaf oval, pointed, just stalked; flowers maroon with yellow lip, solitary on long, hairy stalk, spur slender, curved";"Near cultivation; occasional; Signal Hill to Plumstead"
407;"Lactuca serriola ";"ASTE";"Wild Lettuce";"Lactuca serriola ";"Invasive";;"not listed";"Perennial up to 2m tall; leaves lobed, sometimes simple and oblong; weakly spined on margins, prickly on lower midrib; flowerheads numerous";"Not recorded in 1950"
408;"Lagurus ovatus ";"POAC";"Bunny-tail Grass";"Lagurus ovatus ";"Invasive";;"not listed";"Soft; leaf blade velvety; culms very thin; ligule fluffy white membrane; panicle soft, attractive, dense, with scattered soft hairs";"Sandy soil, disturbed areas, esp. shade; locally common, abundant in parks"
409;"Lamarckia aurea ";"POAC";"Goldentop Grass";"Lamarckia aurea ";"Invasive";;"not listed";"Untidy; spikelets of two kinds in bunches of 4-5";"Usually road verges on gravels; locally common; local at Simonstown"
410;"Lamium amplexicaule";"LAMI";"Henbit Deadnettle";"Lamium amplexicaule";"Invasive";;"not listed";"Annual, low, downy, sparsely branched; leaf rounded, bluntly toothed, uppermost stalkless with base almost clasping stem; flowers purple-pink, in whorls at base of upper leaves";"Claremont and Kirstenbosch"
411;"Lantana camara ";"VERB";"Cherrypie";"Lantana camara ";"Invasive";;"not listed";"Stem 4-angled; leaf strong-smelling if crushed, flowers in many coloured heads; fruit in purple black clusters";"Garden escape; occasional"
413;"Lathyrus angulatus ";"FABA";"Angled Pea";"Lathyrus angulatus ";"Invasive";;"not listed";"Annual, slender, hairless; stems winged; leaf 1 pair leaflets, ending in branched tendril, stalk channelled; flower solitary, blueish green, peduncle extended to a slender awn above the flower; pod swollen";"Kirstenbosch; rare"
414;"Lathyrus cicera ";"FABA";"Red Pea";"Lathyrus cicera ";"Invasive";;"not listed";"Annual, hairless; stems winged; leaf 1 pair leaflets, ending in branched tendril, stalk narrow winged; stipule toothed; flowers solitary, axillary, petals with standard salmon  and keel white with a purple tip; pod flat";"Grassy places; rare; Kenilworth and Keurboom Park"
415;"Lathyrus latifolius ";"FABA";"Broadleaf Everlasting Pea";"Lathyrus latifolius ";"Invasive";;"not listed";"Perennial, climbing; stems winged; leaflets 1 pair leaflets, large, ending in a branched tendril, stipule toothed; flowers 5-15, bright magenta; pods brown";"Waste areas"
51;"Lavatera assurgentiflora";"MALV";"Mission Mallow";"Lavatera assurgentiflora";"Invasive";;"not listed";"Sprawling perennial herb, to 4m tall; leaf 150mm across, 5-7 toothed lobes; sepals elongated; petals dark veined, rectangular; fruit disc-shaped";"Disturbed areas"
52;"Lavatera trimestris";"MALV";"Annual Tree Mallow";"Lavatera trimestris";"Invasive";;"not listed";"Annual, tall, erect, to 1.5m; stems bristly haired, tingued red with age; leaf lower heart-shaped, upper lobed; flowers trumpet-shaped, single;";"Disturbed areas"
418;"Lens culinaris ";"FABA";"Lentil ";"Lens culinaris ";"Invasive";;"not listed";"Annual, climbing or trailing; leaf ending in tendrils, downy, stipules with a dark spot; flowers 1-3 yellow-white, stalkless; pods downy";"Not recorded in 1950"
419;"Lepidium virginicum ";"BRAS";"Poor-mans Pepperwort";"Lepidium virginicum ";"Invasive";;"not listed";"Annual, erect, hairs pointing downward (A&S: hairless), leaf lanceolate, toothed, not clasping stem; flowers 4-cross, white, pods round, notched, shorter than stalks";"Roadsides and waste areas; occasional; Sea Point and Claremont "
420;"Leptospermum laevigatum ";"MYRT";"Australian Myrtle";"Leptospermum laevigatum ";"invasive";;"not listed";"Densely branching shrub; leaf 15-30mm long, tips rounded with minute point; flower solitary, stalkless; capsules opening by 6-11 valves at top";"Flats and lower slopes; locally abundant; planted as hedge; coppices if not cut low enough"
422;"Leucojum aestivum";"AMAR";"Summer Snowflake";"Leucojum aestivum";"Invasive";;"not listed";"Bulbs, with straplike, narrow, dark leaves; flowers in umbel of 3-7 with unequal stalks, bell-shaped, pendulous, slight frangrance, petals white with green dots on tip; fruit fleshy, inflated";"Locally common; Bishops Court; Not recorded in 1950; subspecies unknown"
425;"Ligustrum japonicum ";"OLEA";"Japanese Privet";"Ligustrum japonicum ";"Invasive";;"not listed";"Leaves thick, leathery, evergreen, 40-150mm long, tip pointed; flowers in large 100-200mm long, terminal panicles, heavily scented, anthers yellow; berries black";"Spreading occasionally; hedge plant"
426;"Ligustrum sinense ";"OLEA";"Chinese Privet";"Ligustrum sinense ";"Invasive";;"not listed";"Leaves thick, leathery, 25-80mm long, lower midrib hairy, tip rounded, deciduous; flowers in 50-100mm long, terminal panicles, heavily scented, anthers black; berries black";"Under trees; rare; Bishopscourt"
622;"Ligustrum vulgare";"OLEA";"Common Privet";"Ligustrum vulgare";"Invasive";;"not listed";"Shrub; stems, erect; bark grey-brown; leaves ovate to lanceolata; flowers in panicles, cream to white, sweet scented; berries small, round black.";"Tokai"
29;"Linum usitatissimum";"LINA";"Linseed";"Linum usitatissimum";"Invasive";;"not listed";"Annual; 1.2m, slender; leaf slender, lanceolate, 20-40mm long, glaucous, stipule glands; flowers pale blue or red, papery; fruit round dry capsule";"Bergvliet in 1917 (Purcell); old cultivated and disturbed areas"
428;"Lobularia maritima ";"BRAS";"Sweet Alyssum";"Lobularia maritima ";"Invasive";;"not listed";"Annual; leaf narrow, untoothed; flowers 4-cross, white, fragrant, petals unnotched, lateral sepals pouched";"Roadsides and disturbed areas; frequent"
429;"Lolium multiflorum ";"POAC";"Italian Ryegrass";"Lolium multiflorum ";"Invasive";;"not listed";"Dense; leaf dark green, hairless, shiny, rolled when young; spike flattened with spikelets ranked alternately on each side, awns 10-15mm long; sterile leafy shoots absent";"Disturbed areas esp. roadsides;  common, occasional in natural veld"
18;"Lolium perenne";"POAC";"Perennial Ryegrass";"Lolium perenne";"Invasive";;"not listed";"Dense; leaf dark green, hairless, shiny, flat or folded when young; spike flattened with spikelets ranked alternately on each side, awnless; sterile leafy shoots present";"Not recorded in 1950"
430;"Lolium rigidum ";"POAC";"Stiff Darnel";"Lolium rigidum ";"Invasive";;"not listed";"Dense; leaf dark green, hairless, shiny; spike flattened with spikelets ranked alternately on each side, spikelets 1-3 mm wide partly hidden in vavities on the rachis";"Disturbed areas where moist; locally common; was L. loliaceum"
431;"Lolium temulentum ";"POAC";"Darnel Ryegrass";"Lolium temulentum ";"Invasive";;"not listed";"Dense; leaf dark green, hairless, shiny; spike flattened with spikelets ranked alternately on each side, lemmas elliptical, turgid towards base at maturity";"Disturbed areas, locally common"
432;"Lotus angustissimus ";"FABA";"Slender Birdsfoot Trefoil";"Lotus angustissimus ";"Invasive";;"not listed";"Annual, prostrate, sparsely hairy;  leaflets 5, 2 bent back so appears trifoliate, stipule small; flowers 1-2 per head, on stalks shorter than leaf,  yellow; pod 15-30mm long ";"Roadsides and waste areas; occasional"
433;"Lotus subbiflorus ";"FABA";"Lotus";"Lotus subbiflorus ";"Invasive";;"not listed";"Annual, prostrate, hairy;  leaflets 5, 2 bent back so appears trifoliate, stipule small; flowers 2-4 per head, on stalks longer than leaf, orange yellow; pod 6-12mm short ";"Not recorded in 1950"
434;"Lotus uliginosus ";"FABA";"Greater Birdsfoot Trefoil";"Lotus uliginosus ";"Invasive";;"not listed";"Perennial, erect; leaflets 5, 2 bent back so appears trifoliate, stipule small; flowers 5-10 per head, in an umbel, sepal teeth spreading; pods straight, bird-foot-like in head";"Marshy areas; local; Newlands"
436;"Lupinus angustifolius";"FABA";"Annual Lupin";"Lupinus angustifolius";"Invasive";;"not listed";"Annual, slender, hairy; flowers blue, alternating";"Fields and roadsides; frequent"
437;"Lupinus luteus";"FABA";"Sweet Lupin";"Lupinus luteus";"Invasive";;"not listed";"Annual, hairy, flowers whorled, yellow";"Fields and roadsides; occasional"
435;"Lupinus micranthus";"FABA";"Field Lupin";"Lupinus micranthus";"Invasive";;"not listed";"Perennial, with brown hairs; leaf palmate, stipule small; flowers in stalked spikes, purple";"Not recorded in 1950"
438;"Lythrum hyssopifolia ";"LYTH";"Loosestrife";"Lythrum hyssopifolia ";"Invasive";;"not listed";"Annual, hairless; stems slightly 4-angled; flowers tiny, unstalked, axillary, solitary, pink, tube prominently ridged, stamens (4 or 6) as many as petals;";"Damp areas on flats and lower slopes, common; in cultivation, frequent"
439;"Lythrum salicaria ";"LYTH";"Purple Loosestrife";"Lythrum salicaria ";"Invasive";"1a";"listed";"Perennial, rootstock, square stem, hairy; leaf lanceolate, unstalked, downy; flowers in showy, whorled spikes, rose-purple, 6 petals, petal tube with prominent ribs, 12 stamens, trimorphic ";"In wet areas; only recorded at Liesbeeck River"
440;"Malcolmia maritima ";"BRAS";"Virginia Stock";"Malcolmia maritima ";"Invasive";;"not listed";"Annuals, hairs adpressed; flowerheads short; flowers white, pink, violet; fruit with a short, flattened stylar beak";"Roadsides and disturbed areas; occasional"
416;"Malva dendromorpha";"MALV";"Tree Mallow";"Malva dendromorpha";"Invasive";;"not listed";"Biennial with woody stems, velvety; stipule narrow; flowers bright pink/lilac, in clusters of 2-7, bracts longer than sepals; fruit segments wrinkled";"Rocks by sea at Sea Point and Kalk Bay, frequent; disturbed areas inland, occasional; was Lavatera arborea"
417;"Malva linnaei";"MALV";"Cretan Mallow";"Malva linnaei";"Invasive";;"not listed";"Biennial with herbaceous stems; leaves roughly velvety, stipule narrow; flowers pale pink/lilac, in clusters of 2-7, bracts shorter than sepals, anthers in terminal bundle; fruit a disc, segments rounded, smooth";"Roadsides and waste areas; occasional to locally abundant; was Lavatera cretica"
552;"Malva nicaeensis ";"MALV";"French Mallow";"Malva nicaeensis ";"Invasive";;"not listed";"Annual, erect, aging hairless; leaf stalks hairy; flowers in axillary groups, sepals hairy, epicalyx as broad as sepals, petals 3 times longer sepals, white below, pink above, anthers in terminal bundle;  fruit hairless, wrinkled on back, edges not raised";"Roadsides and disturbed areas; rather local"
553;"Malva parviflora ";"MALV";"Small Mallow";"Malva parviflora ";"Invasive";;"not listed";"Perennial, sprawling, hairy, grooved;  leaf often hairless, stipule sheath awl-like; flowers 2-4, pale lilac; epicalyx narrower than sepals, petals just longer sepals, elongate in fruit, anthers in terminal bundle; fruit with ridges on back & raised edges";"Roadsides and disturbed areas; rather common"
617;"Malva sylvestris";"MALV";"Common Mallow";"Malva sylvestris";"Invasive";;"not listed";"Shrub; stem and leaves covered in fine white hairs; leaves broad, roundish-lobed; flowers bright purple with dark veins.";"Tafelberg Road"
441;"Malva verticillata var. verticillata";"MALV";"Chinese Mallow";"Malva verticillata var. verticillata";"Invasive";;"not listed";"Biennial, prostrate; stems smooth; flowers in dense whorls, pale lilac, petals twice as long as sepals, sepals twice as long as epicalyx, calyx enlarging in fruit, anthers in terminal bundle; fruit deeply wrinkled but edges not raised";"Roadsides and waste areas; frequent; often attacked by rust."
442;"Marrubium vulgare ";"LAMI";"Common Hoarhound";"Marrubium vulgare ";"Invasive";;"not listed";"Perennial, spreading, covered with white down, thyme-scented; leaf stalked, wrinkled, downy; flowers dirty white, hairy, in dense, leafy whorls, sepals with 10 hooked teeth ";"Kloof Neck, Tamboerskloof; locally common"
443;"Medicago laciniata ";"FABA";"Bur Clover";"Medicago laciniata ";"Invasive";;"not listed";"Annual, prostrate, hairy to hairless; leaves small; flowers yellow, in 1-2; fruit burr, spiralled, soft spines, slightly hairy, veins inconspicuous";"Wet areas; occasional; Glencairn, Clovelly, Paarden Island, Hout Bay"
444;"Medicago minima ";"FABA";"Little Burr Medic";"Medicago minima ";"Invasive";;"not listed";"Annual, creeping, very small; taproot long; leaves downy, unspotted, downy, stipules untoothed, pointed; flowers 1-4 per head, yellow; fruit burr, spiral, strongly netted, 2 rows of hooked spines";"Not recorded in 1950"
445;"Medicago polymorpha ";"FABA";"Rough Medic";"Medicago polymorpha ";"Invasive";;"not listed";"Annual, variable in size and habit, creeping; taproot long; leaves hairy, unspotted; stems 4-angled; stipules deeply toothed; flowers 1-4 per head, yellow; fruit burr, spiral, strongly netted, short, hairless, prickles small";"Roadsides and waste areas; abundant; "
446;"Medicago sativa ";"FABA";"Alfalfa";"Medicago sativa ";"Invasive";;"not listed";"Perennial, erect, hairless, deep rootstock; stipule toothless; flowers in short spikes, yellow / purple / black; pods often curved or spiral";"Escape from cultivation; occasional"
49;"Melaleuca ericifolia";"MYRT";"Swamp Paperbark";"Melaleuca ericifolia";"invasive";;"not listed";"Tree to 9m tall, bark pale papery; leaf linear, 7-15mm long, 1mm wide, dark green, occ. 3-fid; heads dense spkes; flowers white, fragrant, stamens 7-13 per bundle; capsules 3mm wide, sepals obscure";"Not recorded on Peninsula"
113;"Melaleuca hypericifolia";"MYRT";"Hillock Paperbark";"Melaleuca hypericifolia";"invasive";"1a";"listed";"Shrub to 6m, often weeping; bark corky-papery; leaf lanceolate ot oblong-elliptic, 10-40X4-10mm; flowerheads dense spikes on old wood, red, solitary per bract, stamens 16-20 per bundle";"From SAPIA 2010; wet areas"
114;"Melaleuca nesophila";"MYRT";"Pink Melaleuca";"Melaleuca nesophila";"invasive";;"not listed";"Rounded shrubs to 5m; bark papery; leaf elliptical, 20mm long, grey, wrinkled; flowerheads pink, globular, at branch tips, stamens with 10-15 tips; fruit globular, pods prominent";"From SAPIA 2010; promoted for hedges"
447;"Melaleuca quinquenervia";"MYRT";"Broadleaf Paperbark";"Melaleuca quinquenervia";"Invasive";;"not listed";"Tall tree; bark white papery, layered; leaf 20X70mm, with 5 veins; flowerheads short, cream, 50mm long; fruit in woody capsules";"From SAPIA 2010; Tokai; a major problem in wetlands (e.g. Everglades); coppicer"
620;"Melaleuca styphelioides";"MYRT";"Prickly Paperbark";"Melaleuca styphelioides";"Invasive";;"not listed";"Tree; bark, spongy, white to light brown, peeling in large strips; leaves sessile, sharp-tipped, linear; flowers white or cream, brush-like; seed capsules on branches, grey-brown woody.";"Tokai"
448;"Melia azedarach ";"MELI";"Syringa";"Melia azedarach ";"Invasive";;"not listed";"Leaf odd pinnate, clustered at ends of branches, leaflets serrated, 3 paired, unpleasant scent if crushed; flowers pale lilac, staminal tube dark purple; berries in clusters turning yellow, with a single ridged stone";"Not recorded in 1950"
449;"Melilotus albus";"FABA";"White Sweet Clover";"Melilotus albus";"Invasive";;"not listed";"Biennial, tall; stipule small; leaf with narrow leaflets; flowers in loose, long stalked spikes, white, wings as long as keel; pods hairless, net veined, brown when ripe";"Kloof Neck, Kirstenbosch; was Trifolium alba & M. alba"
450;"Melilotus indicus";"FABA";"Annual Yellow Sweet Clover";"Melilotus indicus";"Invasive";;"not listed";"Biennial, short, hairless; stipule small; flowers in stalked spikes, yellow, wings and keel shorter than standard; pods hairless,  net veined, olive green when ripe";"Roadside and waste places; common; was M. indica"
47;"Melilotus officinalis";"FABA";"Yellow Sweet  Clover";"Melilotus officinalis";"Invasive";;"not listed";"Biennial, tall; stipule small; leaf with narrow leaflets; flowers in stalked spikes, white, standard longer than keel; pods hairless, net veined, brown when ripe";"Disturbed areas and roadsides"
451;"Mercurialis annua ";"EUPH";"Annual Mercury";"Mercurialis annua ";"Invasive";;"not listed";"Annual; Stem ribbed and furrowed, downy, almost hairless; stipule a ring; flowerheads green, stalked tassels (scarcely stalked in female), green  ";"Gardens and waste areas; common"
452;"Metrosideros excelsa ";"MYRT";"New Zealand Christmas Tree";"Metrosideros excelsa ";"Invasive";;"not listed";"Leaves thick, leathery, glossy dark green above, grey-felt below, margins curled over; flowers crimson in terminal brushes";"Not recorded in 1950"
