"sppid";"Name";"Family";"CommonName";"Name";"Native/Invasive";"nemba";"EDRR target species (www.CTinvasives.co.za)";"Diagnostics";"Peninsula Notes"
205;"Ailanthus altissima ";"SIMA";"Tree of Heaven";"Ailanthus altissima ";"Invasive";"1b";"listed";"Deciduous tree; leaves large (300mm-1m long), bad smell if bruised; suckers profusely";"Garden escape, roadsides; occasional; Constantia, Wynberg; not recorded in 1950"
206;"Aira cupaniana ";"POAC";"Silver Hairgrass";"Aira cupaniana ";"Invasive";"not listed";"not listed";"A variable species, confused with Pentaschistis airoides which has a hair fringe ligule";"Shallow soils, damp areas, also open deep sands, far from disturbance; common"
207;"Alisma plantago-aquatica ";"ALIS";"Common Water Plantain";"Alisma plantago-aquatica ";"Invasive";"1b";"not listed";"Perennial; leaves broad, lanceolate, base rounded or heart-shaped; flowers lilac, in whorls; fruit ring of nutlets";"Edges of vleis; locally abundant; Lansdowne"
208;"Allium triquetrum";"ALLI";"Three-cornered Garlic";"Allium triquetrum";"Invasive";"not listed";"not listed";"Strong Garlic scent, leaves ribbed triangular";"Granite soils, disturbed areas; locally abundant; (Not reocrded in 1950) Kirstenbosch to Kloof Neck"
209;"Alnus glutinosa ";"ULMA";"Common Alder";"Alnus glutinosa ";"Invasive";"not listed";"not listed";"Bark dark brown, rugged; male catkins with 3 flowers; female catkins ripening to ovoid cones";"Along streams; occasional; east side Table Mountain, Camps Bay, Silvermine"
210;"Alternanthera pungens ";"AMAA";"Khaki Burweed";"Alternanthera pungens ";"Invasive";"not listed";"not listed";"Prostrate Perennial; tuberous rootstock; branches numerous and rooting at nodes";"Disturbed areas; local at Green Point, Woodstock and Maitland"
211;"Amaranthus deflexus ";"AMAA";"Perennial Pigweed";"Amaranthus deflexus ";"Invasive";"not listed";"not listed";"Prostrate to ascending; perennial; much branched, stems rough; taproot stout and fleshy; flowerhead branched, petals 2; fruit with veins";"Very common in disturbed areas; very drought tolerant"
212;"Amaranthus hybridus subsp. hybridus";"AMAA";"Cape Pigweed";"Amaranthus hybridus subsp. hybridus";"Invasive";"not listed";"not listed";"Erect, branched, summer annual; leaves green; flowers tiny, mixed with pointed bracts, bracteoles of female flowers awn-shaped, spreading";"Cultivated and disturbed areas, especially sand; common"
213;"Amaranthus lividus subsp. polygonoides";"AMAA";"Livid Amaranth";"Amaranthus lividus subsp. polygonoides";"Invasive";"not listed";"not listed";"Annual, stems hairless, flowerhead branched; petals in females 3, without veins";"Cultivated areas; occasional"
214;"Amaranthus muricatus ";"AMAA";"Pigweed";"Amaranthus muricatus ";"Invasive";"not listed";"not listed";"Prostrate perennial; stems ridged; flowerhead a slender spike, bracts shorter than flowers; flowers with 5 petals in males and 4 in females, very thin";"Very local at Green Point Common; common"
216;"Ambrosia artemisiifolia ";"ASTE";"Common Ragweed";"Ambrosia artemisiifolia ";"Invasive";"not listed";"not listed";"Stems branched, angled, often reddish; flowerheads greenish, rayless; fruit prickly";"Not recorded in 1950"
217;"Ammi majus ";"APIA";"Lace Flower";"Ammi majus ";"Invasive";"not listed";"not listed";"Biennial; leaf lobes tangled; flowers in umbels, petals unequal; lower bracts 3-forked";"Not recorded in 1950"
218;"Ammophila arenaria ";"POAC";"Marram Grass";"Ammophila arenaria ";"Invasive";3;"not listed";"Leaf blade rolled; awns absent";"Seashore and dunes; used for erosion control; common at Hout Bay and Fish Hoek, occasional elsewhere"
33;"Amsinckia menziesii var. intermedia";"BORA";"Fireweed Fiddleneck";"Amsinckia menziesii var. intermedia";"Invasive";"not listed";"not listed";"Annual, erect, fine thorny hairs on stems and leaves; leaf 10-40mm long; flowers in coiled spikes, orange-yellow, tube long, anthers in tube, lobes 3-4mm long";"From Bromilow; was A. intermedia"
