"species"
"Bolboschoenus maritimus"
"Bolusafra bituminosa"
"Bonatea speciosa"
"Boophone disticha"
"Bothriocline longipes"
"Brabejum stellatifolium"
"Brachylaena elliptica"
"Brachypodium distachyon"
"Brachypodium flexum"
"Brachysiphon fucatus"
"Brassica juncea"
"Brassica tournefortii"
"Briza maxima"
"Briza minor"
"Bromus catharticus"
"Bromus diandrus"
"Bromus pectinatus"
"Bromus rigidus"
"Brunia cordata"
"Brunia fragarioides"
"Brunia microphylla"
"Brunia monogyna"
"Brunia noduliflora"
"Brunsvigia bosmaniae"
"Brunsvigia josephinae"
"Brunsvigia orientalis"
"Buddleja saligna"
"Bulbine abyssinica"
"Bulbine alooides"
"Bulbine annua"
"Bulbine asphodeloides"
"Bulbine cepacea"
"Bulbine favosa"
"Bulbine foleyi"
"Bulbine frutescens"
"Bulbine lagopus"
"Bulbine narcissifolia"
"Bulbine praemorsa"
"Bulbine sedifolia"
"Bulbine succulenta"
"Bulbinella nutans"
"Bulbinella trinervis"
"Bulbinella triquetra"
"Bupleurum mundtii"
"Cadiscus aquaticus"
"Caesia contorta"
"Calliandra surinamensis"
"Callistemon rigidus"
"Callistemon salignus"
"Callistemon viminalis"
"Calpurnia villosa"
"Campylostachys cernua"
"Canna generalis"
"Cannomois parviflora"
"Cannomois virgata"
"Canthium inerme"
"Capelio tabularis"
"Capeobolus brevicaulis"
"Capeochloa arundinacea"
"Capeochloa cincta"
"Capnophyllum africanum"
"Cardamine hirsuta"
"Cardiospermum grandiflorum"
"Carduus tenuiflorus"
"Carex aethiopica"
"Carex clavata"
"Carex ecklonii"
"Carex lancea"
"Carex uhligii"
"Carissa macrocarpa"
"Caroxylon aellenii"
"Caroxylon angolense"
"Carpacoce vaginellata"
"Carpanthea pomeridiana"
"Carpha glomerata"
"Carpobrotus acinaciformis"
"Carpobrotus muirii"
"Cassine schinoides"
"Cassytha filiformis"
"Catapodium rigidum"
"Cedronella canariensis"
"Celtis africana"
"Cenchrus ciliaris"
"Cenchrus clandestinus"
"Cenchrus geniculatus"
"Cenchrus macrourus"
"Cenchrus setaceus"
"Centella asiatica"
"Centella caespitosa"
"Centella callioda"
"Centella capensis"
"Centella difformis"
"Centella macrodus"
"Centella scabra"
"Centella tridentata"
"Centranthus ruber"
"Cephalaria rigida"
"Cerastium capense"
"Ceratandra atrata"
"Ceratandra bicolor"
"Ceratocaryum argenteum"
"Ceratonia siliqua"
"Ceropegia circinata"
"Ceropegia gemmiflora"
"Ceropegia irrorata"
"Ceropegia jacquiniana"
"Ceropegia meyerana"
"Ceropegia paniculata"
"Ceropegia revoluta"
"Ceropegia tulipiflora"
"Cestrum aurantiacum"
"Cestrum axillare"
"Chaenostoma hispidum"
"Chaenostoma uncinatum"
"Chamarea capensis"
"Chamira circaeoides"
"Chascanum cernuum"
"Chasmanthe aethiopica"
"Chasmanthe floribunda"
"Cheilanthes capensis"
"Cheilanthes contracta"
"Cheilanthes hastata"
"Cheilanthes namaquensis"
"Cheiridopsis rostrata"
"Chenolea diffusa"
"Chenopodiastrum murale"
"Chenopodium album"
"Chenopodium giganteum"
"Chenopodium mucronatum"
"Chironia baccifera"
"Chironia decumbens"
"Chironia jasminoides"
"Chloris gayana"
"Chlorophytum triflorum"
"Chlorophytum undulatum"
"Christella gueinziana"
"Chrysitrix dodii"
"Chrysocoma cernua"
"Chrysocoma ciliata"
"Cineraria britteniae"
"Cineraria geifolia"
"Cineraria lyratiformis"
"Cineraria mollis"
"Cinnamomum camphora"
"Cirsium vulgare"
"Cissampelos capensis"
"Cissus antarctica"
"Cladoraphis cyperoides"
"Cleretum clavatum"
"Cleretum herrei"
"Cliffortia atrata"
"Cliffortia brevifolia"
"Cliffortia carinata"
"Cliffortia cymbifolia"
"Cliffortia dentata"
"Cliffortia denticulata"
"Cliffortia dodecandra"
"Cliffortia ericifolia"
"Cliffortia eriocephalina"
"Cliffortia falcata"
"Cliffortia ferruginea"
"Cliffortia filifolia"
"Cliffortia glauca"
"Cliffortia hantamensis"
"Cliffortia hirsuta"
"Cliffortia hirta"
"Cliffortia integerrima"
"Cliffortia longifolia"
"Cliffortia marginata"
"Cliffortia obcordata"
"Cliffortia odorata"
"Cliffortia pedunculata"
"Cliffortia polygonifolia"
"Cliffortia ramosissima"
"Cliffortia reticulata"
"Cliffortia ruscifolia"
"Cliffortia stricta"
"Cliffortia strobilifera"
"Cliffortia subsetacea"
"Cliffortia teretifolia"
"Cliffortia theodori-friesii"
"Clutia alaternoides"
"Clutia ericoides"
"Clutia polygonoides"
"Clutia pterogona"
"Clutia pubescens"
"Clutia pulchella"
"Clutia rubricaulis"
"Coccinia sessilifolia"
"Coleonema album"
"Coleonema aspalathoides"
"Commelina benghalensis"
"Convolvulus arvensis"
"Convolvulus farinosus"
"Corycium bicolorum"
"Corycium crispum"
"Corycium excisum"
"Corycium microglossum"
"Corycium orobanchoides"
"Corymbia calophylla"
"Corymbia ficifolia"
"Corymbium cymosum"
"Corymbium enerve"
"Corymbium villosum"
"Cotula coronopifolia"
"Cotula duckittiae"
"Cotula eckloniana"
"Cotula filifolia"
"Cotula myriophylloides"
"Cotula pusilla"
"Cotula turbinata"
"Cotula vulgaris"
"Crassula aphylla"
"Crassula barklyi"
"Crassula campestris"
"Crassula ciliata"
